"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1970721510450241661","Wed Sep 24 05:26:36 +0000 2025","0","PKB Nasihati Jokowi soal Prabowo-Gibran 2 Periode: Kalau Belum Saatnya Salat Jangan Azan Dulu - https://t.co/Bj4ZJhJpYI","1970721510450241661","","","in","","0","0","0","https://x.com/undefined/status/1970721510450241661","959859070575394816",
"1970721429063897290","Wed Sep 24 05:26:17 +0000 2025","0","Apa tidak terlalu berani Presiden kitabke US? Bagaimana keamanan Presiden kita? Kalo terjadi apa2 di sana bisa2 diganti Gibran. Anak Abah dan Anak Nenek Wati bisa nangis gero2 dah.","1970721429063897290","","","in","","0","0","0","https://x.com/undefined/status/1970721429063897290","85390931",
"1970680144894533944","Wed Sep 24 05:26:11 +0000 2025","0","@xquitavee Ide sangat baik . @prabowo @gibran_tweet","1970721404510445683","","xquitavee","in","","0","0","0","https://x.com/undefined/status/1970721404510445683","1383301453528244224",
"1970707530012860758","Wed Sep 24 05:25:18 +0000 2025","1","@yusuf_dumdum semua kekacauan si indonesia disebabkan oleh si anjing kurap jokontol !! segera nepalkan seluruh keluarga si anjing kurap jokontol !! tendang pelernya si anjing gibran dari kursi wapres !! lalu finally potong pelernya si anjing kurap jokontol !!","1970721182334017784","","yusuf_dumdum","in","","0","0","0","https://x.com/undefined/status/1970721182334017784","1019026466",
"1970721149790425108","Wed Sep 24 05:25:10 +0000 2025","0","PRABOWO-GIBRAN DUA PERIODE : INDONESIA HANCUR - Persuasi https://t.co/RqU6v5WPBQ","1970721149790425108","","","in","","0","0","0","https://x.com/undefined/status/1970721149790425108","1410628619752198146",
"1970705569179897888","Wed Sep 24 05:24:29 +0000 2025","1","@Jediimar @ebonXboy @dcristnugroho @puanmaharani_ri @CakKhum @ch_chotimah2 @NgkongRoses @Urrangawak @FirzaHusain @HumorJonTampan @seruanhl @Anak__Ogi @Ary_PrasKe2 @DS_yantie Satu kata : Jangan pilih Gibran .","1970720976628535725","","Jediimar","in","","0","0","0","https://x.com/undefined/status/1970720976628535725","1659107567166189568",
"1970023687203299736","Wed Sep 24 05:23:27 +0000 2025","0","@yaniarsim @gibran_tweet IYA LEBIH BAIK MUNDUR TAPI APAKAH DIA MASIH PUNYA RASA MALU ?????","1970720715252080731","","yaniarsim","in","","0","0","0","https://x.com/undefined/status/1970720715252080731","1788044352884977664",
"1970705569179897888","Wed Sep 24 05:23:16 +0000 2025","1","@ebonXboy @dcristnugroho @puanmaharani_ri @CakKhum @ch_chotimah2 @NgkongRoses @Urrangawak @FirzaHusain @HumorJonTampan @seruanhl @Anak__Ogi @Ary_PrasKe2 @DS_yantie Fiks itu atas kemahuan jokowi bukan Prabowo Karena jika Gibran jadi presiden maka jokowi akan aman .","1970720669873905933","","ebonXboy","in","","0","0","0","https://x.com/undefined/status/1970720669873905933","1659107567166189568",
"1970720378470461911","Wed Sep 24 05:22:07 +0000 2025","0","KPU main api mengurban kan diri demi si Gibran","1970720378470461911","","","in","","0","0","0","https://x.com/undefined/status/1970720378470461911","1457983536741294089",
"1970042887128649964","Wed Sep 24 05:22:01 +0000 2025","1","@democrazymedia @msaid_didu Benar benar brutal ... Mendaftar sebagai walikota solo hingga wapres gibran hanya gunakan surat keterangan. Bukan ijasah lulusan SMK. https://t.co/t95GTEZKhB","1970720354374238656","","democrazymedia","in","","0","0","0","https://x.com/undefined/status/1970720354374238656","1933046905300529155",
"1970720243623629273","Wed Sep 24 05:21:34 +0000 2025","0","PDIP Baca Taktik Jokowi di Balik Perintah Dukung Prabowo-Gibran 2 Periode: Cari Selamat Kasus Ijazah https://t.co/bwCx9u3vGk","1970720243623629273","","","in","","0","0","0","https://x.com/undefined/status/1970720243623629273","894588847727693824",
"1970712650003947973","Wed Sep 24 05:21:09 +0000 2025","0","@DokterTifa TIDAK.. .. KARENA GIBRAN.. SEKOLAH DI.. SECONDARY.. DI SGD.. .. PRIMARY.. SD.. SECONDARY.. SMP.. .. UTS INSEARCH.. ITU.. LES BIMBEL.. KYA TEKNOS GANESHA.. .. MAKA NYA KPU.. TULIS S1 SD.. DOANK.. S NYA SATU.. .. https://t.co/yZKBnRfThZ","1970720135792255479","https://pbs.twimg.com/media/G1lng7OaoAEkUXD.jpg","DokterTifa","in","","0","0","0","https://x.com/undefined/status/1970720135792255479","1950519644764467201",
"1970720098022498818","Wed Sep 24 05:21:00 +0000 2025","1","Dapatkan bonus 10.000 saldo pas download apk Shopeepay Caranya: Upgrade ke spay plus log in dg shopee &amp; masukin kode referral FF6JWV5WP diskon promo info freelance job receh zonauang alwin jabarti kiemas megawati prabowo jokowi purbaya trump gibran https://t.co/jrJWpyIRFp","1970720098022498818","","","in","","0","0","0","https://x.com/undefined/status/1970720098022498818","1884735513976004608",
"1970386911140421886","Wed Sep 24 05:20:56 +0000 2025","0","@Anak__Ogi Saya mendukung pak @Prabowo 2priode tanpa gibran.","1970720083225055576","","Anak__Ogi","in","","0","0","0","https://x.com/undefined/status/1970720083225055576","1811318818758852608",
"1970719881739018294","Wed Sep 24 05:20:08 +0000 2025","0","Presiden terlalu berani ke US. Bagaimana kalo terjadi apa2? Amerika kan mulai memusuhinya. Kuatir aja kalo nanti diganti Gibran. Gimana anak2 Abah dan anak2 Nenek Waty bisa keluar dulu ke Yaman?","1970719881739018294","","","in","","0","0","0","https://x.com/undefined/status/1970719881739018294","85390931",
"1970719102822989887","Wed Sep 24 05:17:02 +0000 2025","0","KPU bantah ubah data pendidikan Gibran di Info Pemilu usai muncul dugaan kejanggalan di tengah gugatan Rp125 triliun. https://t.co/vy2qDdhv76","1970719102822989887","","","in","","0","0","0","https://x.com/undefined/status/1970719102822989887","1404018642",
"1970673734706245886","Wed Sep 24 05:14:17 +0000 2025","0","@regar_op0sisi Jokowo hanya akan selamat kalau gibran jadi presiden Syaratnya kalau dia masih hidup ","1970718407973839320","","regar_op0sisi","in","","0","0","0","https://x.com/undefined/status/1970718407973839320","307413145",
"1970718247164268857","Wed Sep 24 05:13:38 +0000 2025","4","Banyak pengamat &amp; media yg bilang Prabowo-Gibran adlh Dwitunggal yg siap majukan Indonesia. Apalgi Bara JP Joman Projo dll dg Dada membusung pasti bilang jg spt itu. Tapi prcayakah? Dengar apa kata pakar yg 1 ini. Pas jg opininya. -- Jorgensen membangun dengan hati slot pagiii https://t.co/zJzL012Go7","1970718247164268857","https://pbs.twimg.com/media/G1llmhka8AAPFzr.jpg","","in","","0","0","0","https://x.com/undefined/status/1970718247164268857","175752154",
"1970689678643994842","Wed Sep 24 05:12:35 +0000 2025","0","@Ronnie_Rusli Waduh kan Jokowi dukung Prabowo Gibran dua periode Prof","1970717982025506975","","Ronnie_Rusli","in","","0","0","0","https://x.com/undefined/status/1970717982025506975","1603600431825186816",
"1970673330601754820","Wed Sep 24 05:11:48 +0000 2025","1","@antono_putra @NeyModus Mereka mana ada konsistennya. Hari ini membully Prabowo besok menjilat krn junjungannya mempromosikan anaknya dan Prabowo besok menjelekan lagi krn barisan Prabowo udh bnyk yg berbelok tuk tdk mendukung Gibran.","1970717785060974739","","antono_putra","in","","0","0","0","https://x.com/undefined/status/1970717785060974739","1452508101505028098",
